,AMZN
0,742.12
1,741.9199999999997
2,739.6
3,739.5499999999997
4,738.72
5,738.5
6,738.49
7,739.68
8,739.2973
9,739.125
10,739.38
11,739.7999999999997
12,739.5822
13,739.459
14,739.1
15,738.97
16,739.5
17,739.0
18,738.6499999999999
19,739.2235
20,739.01
21,739.33
22,739.5416
23,739.68
24,739.7425
25,739.6599999999999
26,739.25
27,739.68
28,739.9099999999999
29,739.93
30,740.38
31,740.805
32,741.0299999999999
33,740.8999999999999
34,740.7749999999999
35,740.68
36,740.446
37,740.22
38,739.37
39,738.6
40,738.8325
41,739.0399999999997
42,738.34
43,737.5499999999997
44,738.31
45,738.62
46,738.19
47,737.6599999999999
48,738.48
49,738.18
50,737.9199999999997
51,737.7999999999997
52,737.7218
53,737.6699999999997
54,738.0399999999997
55,738.0399999999997
56,738.1499999999999
57,737.96
58,738.0299999999999
59,737.9099999999999
60,737.9749
61,738.3039
62,738.33
63,738.0299999999999
64,737.9392
65,738.2
66,738.02
67,738.0
68,738.1499999999999
69,738.0
70,738.12
71,738.32
72,738.18
73,738.38
74,738.211
75,738.11
76,738.2999999999997
77,738.5399999999997
78,738.25
79,738.12
80,737.87
81,737.74
82,737.5
83,737.3999999999999
84,737.07
85,736.5689
86,736.14
87,736.76
88,736.69
89,736.71
90,735.85
91,736.115
92,735.855
93,736.1
94,736.1499999999999
95,736.35
96,736.96
97,737.0399999999997
98,736.26
99,736.24
100,736.2
101,736.1699999999997
102,736.0349999999999
103,735.75
104,735.69
105,735.98
106,736.25
107,735.93
108,735.89
109,736.0010000000003
110,736.24
111,735.75
112,735.5761
113,736.62
114,736.87
115,736.791
116,736.7899999999997
117,736.6499999999999
118,736.2999999999997
119,736.6599999999999
120,736.83
121,736.7899999999997
122,736.84
123,736.8999999999999
124,736.5072
125,736.5
126,736.99
127,736.71
128,736.62
129,736.9099999999999
130,736.73
131,736.7
132,736.8999999999999
133,736.64
134,736.5
135,736.4899
136,736.7
137,736.02
138,736.14
139,736.35
140,736.455
141,737.21
142,736.97
143,736.8989999999999
144,736.72
145,736.56
146,736.3999999999999
147,736.96
148,736.95
149,736.571
150,736.5499999999997
151,736.71
152,736.73
153,736.6501
154,736.63
155,736.6699999999997
156,736.75
157,736.86
158,736.97
159,736.645
160,736.39
161,736.2967
162,736.02
163,736.1499999999999
164,736.12
165,735.93
166,735.89
167,736.0
