,GOOGL
0,756.57
1,756.1599999999999
2,755.62
3,756.3599
4,755.6699999999997
5,755.31
6,753.98
7,755.712
8,755.57
9,755.615
10,756.23
11,756.52
12,756.38
13,755.81
14,756.5399999999997
15,756.6699999999997
16,756.4568
17,757.1
18,756.4049999999999
19,756.882
20,756.9049999999999
21,757.625
22,758.2899999999997
23,758.11
24,757.63
25,758.1
26,757.99
27,758.225
28,758.2899999999997
29,758.51
30,758.215
31,758.6
32,759.1023
33,758.61
34,758.75
35,758.74
36,758.71
37,758.7305
38,758.71
39,758.39
40,758.6699999999997
41,758.7999999999997
42,758.805
43,758.7799999999999
44,758.63
45,758.7710000000003
46,758.57
47,758.4049999999999
48,758.25
49,758.5299999999999
50,758.44
51,758.5499999999997
52,758.5
53,758.21
54,758.5
55,759.14
56,758.7825
57,758.89
58,758.84
59,758.97
60,758.88
61,758.825
62,758.58
63,758.5489999999999
64,758.3574999999997
65,758.7799
66,758.85
67,758.95
68,758.6549999999999
69,759.02
70,758.98
71,758.86
72,758.8003
73,758.9352
74,758.7
75,758.45
76,758.85
77,759.0
78,758.796
79,758.95
80,758.51
81,758.6499999999999
82,758.2749999999999
83,758.07
84,757.46
85,755.7080000000003
86,754.86
87,755.59
88,755.32
89,755.36
90,754.76
91,754.6124999999997
92,754.2
93,754.49
94,754.25
95,754.1662
96,754.35
97,754.0
98,753.75
99,753.61
100,753.43
101,753.12
102,753.071
103,753.225
104,752.935
105,753.13
106,753.3129
107,753.07
108,753.56
109,753.615
110,754.3667
111,753.56
112,753.0299999999999
113,753.7
114,754.32
115,754.62
116,754.2950000000003
117,753.97
118,753.88
119,754.06
120,754.395
121,753.96
122,754.0000999999999
123,754.0
124,753.6
125,754.06
126,754.3008
127,754.31
128,753.9049999999999
129,753.6599999999999
130,753.61
131,753.43
132,753.7899999999997
133,753.4099999999999
134,753.33
135,753.225
136,753.0689999999997
137,752.7999999999997
138,753.07
139,753.1749999999997
140,753.26
141,754.4099999999999
142,754.77
143,754.7
144,754.715
145,754.1499999999999
146,754.31
147,754.63
148,754.3492
149,754.49
150,754.62
151,754.7689
152,754.62
153,754.35
154,754.33
155,754.44
156,754.44
157,755.0
158,755.23
159,754.9199999999997
160,754.6549999999999
161,754.435
162,754.2492499999997
163,754.0634999999999
164,753.86
165,754.02
166,753.7
167,753.34
168,753.86
169,754.2799999999999
170,754.845
171,755.2799999999999
172,756.01
173,756.27
174,756.4099999999999
175,756.33
176,756.19
177,756.09
178,755.63
179,755.69
180,755.33
181,755.61
182,755.36
183,754.88
184,754.88
185,755.0
186,755.52
187,755.2899999999997
188,755.1
189,755.0349999999999
190,754.9099999999999
191,754.45
192,754.62
193,754.47
194,754.815
195,754.74
196,754.6166666666667
197,754.4933333333332
198,754.37
199,755.4199999999997
200,755.2401
201,755.4099999999999
202,755.64
203,755.33
204,755.4249999999997
205,755.51
206,755.3275
207,755.77
208,755.6499999999999
209,755.385
210,755.2747
211,755.32235
212,755.37
213,755.25
214,755.575
215,755.74
216,756.0349999999999
217,755.935
218,755.4701
219,755.7124999999999
220,756.09
221,756.1
222,755.59
223,755.8999
224,755.94
225,755.86
226,756.1
227,755.6074999999997
228,755.96
229,755.5775
230,755.7949999999997
231,755.632
232,755.35
233,754.94
234,755.21
235,754.6699999999997
236,754.485
237,754.59
238,754.2999999999997
239,754.82
240,754.98
241,754.97
242,754.71
243,754.63
244,754.31
245,754.97
246,754.7274999999997
247,754.985
248,755.09
249,755.2174999999999
250,755.2899999999997
251,755.3999999999999
252,755.3999999999999
253,755.3175
254,755.185
255,755.34
256,755.22
257,755.615
258,755.8275
259,755.87
260,755.48
261,755.4249999999997
262,755.7224999999999
263,755.245
264,755.25
265,755.24
266,755.1
267,755.6599999999999
268,755.6
269,755.1549999999999
270,755.23
271,755.32
272,755.59
273,755.46
274,755.52
275,755.2999999999997
276,755.0299999999999
277,754.5725
278,754.35
279,754.35
280,754.485
281,754.2539999999997
282,754.1599999999999
283,754.09
284,754.3678
285,754.2899999999997
286,754.73
287,754.5299999999999
288,754.7449999999999
289,754.96
290,755.0375
291,755.14
292,755.2987499999997
293,755.4575
294,755.39
295,755.685
296,755.98
297,756.0
298,755.94
299,755.7799999999999
300,755.61
301,756.14
302,755.9382
303,756.01
304,755.87
305,756.2487999999997
306,756.2493999999997
307,756.25
308,756.24
309,755.96
310,755.8999999999999
311,756.2188999999997
312,755.94
313,756.5299999999999
314,756.22
315,756.48
316,756.5250000000003
317,756.57
318,756.0399999999997
319,756.1699999999997
320,756.07
321,756.0
322,756.0
323,755.807
324,755.7
325,755.5499999999997
326,755.75
327,755.9099999999999
328,755.64
329,755.6699999999997
330,755.6699999999997
331,755.71
332,755.8999999999999
333,756.06
334,756.22
335,756.22
336,756.13
337,756.2999999999997
338,756.63
339,757.0
340,757.26
341,757.0399999999997
342,756.95
343,756.7324999999997
344,755.9101
345,756.075
346,756.0
347,755.5701
348,755.56
349,755.5
350,755.6
351,755.58
352,756.4099
353,756.27
354,756.23
355,756.1599999999999
356,756.2675
357,756.38
358,756.86
359,756.8499
360,757.31
361,757.09
362,757.185
363,757.08
364,756.69
365,757.1425
366,757.02
367,756.955
368,756.5499999999997
369,756.83
370,757.0
371,757.0575
372,756.8999999999999
373,756.87
374,756.9475
375,756.96
376,757.4049999999999
377,757.35
378,757.25
379,757.5049
380,757.355
381,757.07
382,757.25
383,756.995
384,756.74
385,756.68
386,756.84
387,756.97
388,757.26
389,757.2799999999999
390,757.6499999999999
391,758.9398999999999
392,757.69
393,757.99
394,758.2799999999999
395,758.3989999999999
396,756.0499999999997
397,756.9099999999999
398,757.0299999999999
399,757.2999999999997
400,757.44
401,756.7
402,756.37
403,757.4099999999999
404,756.9199999999997
405,756.07
406,756.6499999999999
407,756.96
408,757.3374999999999
409,758.0349999999999
410,758.5499999999997
411,758.97
412,759.26
413,760.0
414,760.49
415,761.12
416,761.0
417,761.35
418,761.22
419,761.25
420,761.19
421,761.0114999999997
422,761.49
423,762.0499999999997
424,762.26
425,762.18
426,762.31
427,762.18
428,761.7999999999997
429,761.59
430,761.5499999999997
431,760.93
432,761.5911999999997
433,761.61
434,761.21
435,761.49
436,761.87
437,761.96
438,761.96
439,761.9199999999997
440,761.8999999999999
441,761.49
442,761.5
443,761.37
444,761.365
445,761.385
446,761.25
447,760.85
448,760.301
449,760.8939999999999
450,760.74
451,760.7899999999997
452,761.1499999999999
453,760.818
454,760.96
455,760.94
456,761.24
457,761.36
458,761.6372
459,761.2675
460,761.43
461,761.44
462,761.43
463,761.4812
464,762.0
465,761.58
466,761.5299999999999
467,761.97
468,761.83
469,761.5
470,761.0
471,761.575
472,761.31
473,761.72
474,762.0399999999997
475,761.34
476,761.6089999999997
477,761.3975
478,761.11
479,761.34
480,761.43
481,761.2799999999999
482,761.45
483,761.34
484,761.22
485,761.25
486,761.35
487,761.37
488,761.83
489,761.86
490,761.93
491,762.0
492,762.6
493,762.2422
494,761.96
495,762.0
496,761.69
497,762.39
498,762.32
499,762.56
500,762.26
501,762.4099999999999
502,762.46
503,762.13
504,762.38
505,762.6499999999999
506,762.89
507,762.77
508,762.7899999999997
509,762.39
510,762.69
511,762.3999999999999
512,761.73
513,762.1499999999999
514,762.33
515,762.11
516,762.01
517,761.6699999999997
518,761.69
519,761.455
520,760.7899999999997
521,760.73
522,760.645
523,760.56
524,760.99
525,760.88
526,760.99
527,761.2999999999997
528,761.24
529,761.6356
530,761.4099999999999
531,761.73
532,761.57
533,761.33
534,761.0310000000003
535,761.07
536,760.765
537,760.44
538,760.3456
539,759.95
540,759.9175
541,759.95
542,759.73
543,759.515
544,759.865
545,759.56
546,759.6599999999999
547,759.7
548,759.31
549,759.18
550,758.735
551,758.6074999999997
552,758.4199999999997
553,757.98
554,758.0499999999997
555,757.89
556,757.6699999999997
557,758.13
558,758.26
559,758.35
560,758.13
561,757.6649999999997
562,757.6499999999999
563,757.9199999999997
564,757.7999999999997
565,757.75
566,757.4078
567,757.5399999999997
568,757.5
569,757.7999999999997
570,758.1599999999999
571,758.22
