,NVDA
0,56.1984
1,56.415
2,56.49
3,56.5335
4,56.52
5,56.57
6,56.51
7,56.5
8,56.57
9,56.44
10,56.41
11,56.44
12,56.45
13,56.39
14,56.44
15,56.56
16,56.581
17,56.56
18,56.475
19,56.53
20,56.51
21,56.5
22,56.508
23,56.5
24,56.5
25,56.4801
26,56.485
27,56.57
28,56.615
29,56.69
30,56.655
31,56.61
32,56.55
33,56.53
34,56.42
35,56.42
36,56.495
37,56.51
38,56.55
39,56.5167
40,56.525
41,56.54
42,56.5374
43,56.53
44,56.57
45,56.55
46,56.555
47,56.565
48,56.6
49,56.64
50,56.615
51,56.6192
52,56.61
53,56.62
54,56.65
55,56.66
56,56.68
57,56.71
58,56.735
59,56.755
60,56.75
61,56.736
62,56.73
63,56.739
64,56.6964
65,56.65
66,56.73
67,56.75
68,56.779
69,56.78
70,56.81
71,56.835
72,56.85
73,56.84
74,56.87
75,56.89
76,56.885
77,56.875
78,56.8758
79,56.855
80,56.84
81,56.828
82,56.77
83,56.73
84,56.68
85,56.589
86,56.54
87,56.575
88,56.6292
89,56.6
90,56.52
91,56.53
92,56.51
93,56.58
94,56.6
95,56.5577
96,56.55
97,56.54
98,56.49
99,56.39
100,56.44
101,56.4007
102,56.38
103,56.29
104,56.37
105,56.32
106,56.315
107,56.305
108,56.275
109,56.275
110,56.3262
111,56.31
112,56.3299
113,56.33
114,56.37
115,56.3749
116,56.359
117,56.37
118,56.42
119,56.43
120,56.42
121,56.4
122,56.35
123,56.305
124,56.32
125,56.29
126,56.32
127,56.3
128,56.247
129,56.24
130,56.23
131,56.22
132,56.23
133,56.2107
134,56.17
135,56.15
136,56.19
137,56.17
138,56.18
139,56.28
140,56.285
141,56.331
142,56.4
143,56.39
144,56.35
145,56.335
146,56.37
147,56.36
148,56.33
149,56.305
150,56.325
151,56.3234
152,56.33
153,56.31
154,56.27
155,56.27
156,56.32
157,56.28
158,56.29
159,56.3
160,56.22
161,56.26
162,56.264
163,56.26
164,56.277
165,56.3
166,56.285
167,56.3261
168,56.35
169,56.39
170,56.37
171,56.42
172,56.45
173,56.44
174,56.47
175,56.49
176,56.4411
177,56.449
178,56.455
179,56.47
180,56.47
181,56.48
182,56.5
183,56.51
184,56.52
185,56.51
186,56.50100000000001
187,56.52
188,56.5199
189,56.52
190,56.5
191,56.43
192,56.467
193,56.43
194,56.44
195,56.441
196,56.445
197,56.46
198,56.455
199,56.45
200,56.445
201,56.41
202,56.4258
203,56.43600000000002
204,56.42
205,56.42
206,56.405
207,56.4099
208,56.4001
209,56.44
210,56.42
211,56.405
212,56.39
213,56.385
214,56.37
215,56.3434
216,56.34
217,56.35
218,56.35
219,56.34
220,56.34
221,56.33
222,56.33
223,56.31
224,56.32
225,56.32
226,56.34
227,56.3362
228,56.33
229,56.339
230,56.32899999999999
231,56.305
232,56.27
233,56.19
234,56.2168
235,56.21
236,56.14
237,56.14
238,56.14
239,56.1842
240,56.14
241,56.142
242,56.17
243,56.19
244,56.18
245,56.24
246,56.25
247,56.25
248,56.255
249,56.27
250,56.3058
251,56.2901
252,56.31
253,56.28
254,56.3099
255,56.33
256,56.32
257,56.35
258,56.3499
259,56.34
260,56.3259
261,56.33
262,56.3336
263,56.31
264,56.28
265,56.3
266,56.2942
267,56.304
268,56.275
269,56.28
270,56.245
271,56.25
272,56.27
273,56.29
274,56.2775
275,56.25
276,56.25
277,56.225
278,56.246
279,56.22
280,56.21
281,56.16
282,56.2
283,56.2
284,56.2099
285,56.22
286,56.22
287,56.2
288,56.19
289,56.24
290,56.235
291,56.26
292,56.255
293,56.5
294,56.65
295,56.54
296,56.661
297,56.715
298,56.65
299,56.63
300,56.58
301,56.665
302,56.65
303,56.62
304,56.6738
305,56.66
306,56.66
307,56.75
308,56.78
309,56.73
310,56.75
311,56.78
312,56.805
313,56.81
314,56.91
315,56.77
316,56.76
317,56.715
318,56.68
319,56.68
320,56.71
321,56.69
322,56.63
323,56.635
324,56.615
325,56.64
326,56.6
327,56.61
328,56.625
329,56.58
330,56.53
331,56.57
332,56.6
333,56.575
334,56.55
335,56.57
336,56.6
337,56.609
338,56.63
339,56.6
340,56.66
341,56.59
342,56.57
343,56.56
344,56.57
345,56.55
346,56.54
347,56.52
348,56.529
349,56.475
350,56.42
351,56.41
352,56.425
353,56.4962
354,56.505
355,56.49
356,56.515
357,56.5065
358,56.52
359,56.52
360,56.555
361,56.54
362,56.51
363,56.57
364,56.53
365,56.57
366,56.499
367,56.59
368,56.637
369,56.66
370,56.73
371,56.68
372,56.68
373,56.64
374,56.63
375,56.68
376,56.66
377,56.7
378,56.695
379,56.682
380,56.615
381,56.6211
382,56.63
383,56.59
384,56.61
385,56.62
386,56.65
387,56.66
388,56.66
389,56.64
390,56.63
391,57.015
392,56.82
393,56.82
394,56.82899999999999
395,56.83
396,56.87
397,56.9025
398,56.81
399,56.7
400,56.735
401,56.74
402,56.632
403,56.6238
404,56.5136
405,56.45
406,56.49100000000002
407,56.44
408,56.25
409,56.2162
410,56.25
411,56.11
412,55.84
413,55.97
414,55.9201
415,55.97
416,56.0399
417,56.0858
418,56.1
419,56.049
420,56.055
421,55.97
422,56.04
423,56.09
424,56.09
425,56.13
426,56.1011
427,56.1399
428,56.109
429,56.07
430,56.095
431,56.1
432,56.1062
433,56.13
434,56.06
435,56.12
436,56.105
437,56.1
438,56.05
439,56.01
440,55.94600000000001
441,55.8926
442,55.84
443,55.81
444,55.79
445,55.78
446,55.7601
447,55.74
448,55.8273
449,55.835
450,55.815
451,55.89
452,55.93
453,55.93
454,55.989
455,55.9399
456,55.955
457,55.905
458,55.92
459,55.93
460,55.94
461,55.92
462,55.89
463,55.88
464,55.89
465,55.86
466,55.8101
467,55.82
468,55.825
469,55.815
470,55.78
471,55.805
472,55.815
473,55.84
474,55.88
475,55.89
476,55.885
477,55.89
478,55.865
479,55.83
480,55.81
481,55.8238
482,55.8289
483,55.825
484,55.845
485,55.845
486,55.855
487,55.84
488,55.84
489,55.846
490,55.845
491,55.85
492,55.85
493,55.825
494,55.8362
495,55.81
496,55.77
497,55.81
498,55.7958
499,55.81
500,55.79
501,55.805
502,55.81
503,55.835
504,55.845
505,55.875
506,55.99
507,56.0199
508,56.01
509,56.025
510,56.025
511,55.995
512,55.92
513,55.96
514,55.95
515,55.95
516,55.95
517,55.92
518,55.95
519,55.95
520,55.96
521,55.95
522,55.935
523,55.92
524,55.955
525,55.95
526,55.953
527,55.965
528,55.95
529,55.99
530,56.0
531,55.99
532,55.965
533,55.9537
534,55.94
535,55.95
536,55.965
537,55.95
538,55.96
539,55.94
540,55.95
541,55.96
542,55.955
543,55.955
544,55.96
545,55.95
546,55.9575
547,55.96
548,55.925
549,55.92100000000002
550,55.9449
551,55.955
552,55.95
553,55.925
554,55.93600000000002
555,55.935
556,55.93
557,55.97
558,55.985
559,55.985
560,55.98
561,55.9763
562,55.98
563,55.975
564,55.98
565,55.975
566,55.965
567,55.9665
568,55.965
569,55.969
570,55.98
571,55.96
572,56.0
573,56.01
574,55.985
575,55.985
576,55.98
577,55.99
578,55.98
579,55.99
580,55.985
581,56.0
582,55.99
583,55.995
584,56.0
585,55.99800000000001
586,55.99
587,55.96
588,55.96
589,55.955
590,55.9675
591,55.949
592,55.96
593,55.935
594,55.9458
595,55.95
596,55.96
597,55.955
598,55.935
599,55.96
600,55.96
601,55.955
602,55.95
603,55.925
604,55.945
605,55.949
606,55.935
607,55.94
608,55.94
609,55.94
610,55.94
611,55.94
612,55.94
613,55.94
614,55.965
615,55.9616
616,55.965
617,55.955
618,55.94
619,55.9611
620,55.96
621,55.965
622,55.97
623,55.96
624,55.94
625,55.9693
626,55.97
627,55.98
628,55.98
629,55.975
630,55.955
631,55.95
632,55.955
633,55.935
634,55.935
635,55.955
636,56.0
637,55.995
638,55.995
639,55.945
640,55.95
641,55.935
642,55.945
643,55.9201
644,55.945
645,55.9348
646,55.95
647,55.995
