,TSLA
0,227.65
1,227.0967
2,226.63
3,227.53
4,227.125
5,227.259
6,227.25
7,227.08
8,227.125
9,227.0334
10,226.9164
11,227.47
12,227.3608
13,227.24
14,228.005
15,228.599
16,228.29
17,228.4298
18,227.67
19,227.74
20,227.99
21,228.0
22,226.6
23,225.6817
24,226.445
25,226.43
26,226.33
27,226.51
28,226.715
29,226.64
30,226.46
31,226.65
32,227.0163
33,226.56
34,226.48
35,226.15
36,226.04
37,225.88
38,226.0
39,226.0
40,226.0799
41,226.18
42,226.175
43,226.24
44,226.0952
45,226.15
46,226.094
47,226.06
48,226.07
49,226.05
50,225.87
51,225.92
52,225.81
53,225.7935
54,225.795
55,225.9407
56,225.92
57,225.93
58,225.92
59,225.82
60,225.92
61,225.9662
62,225.92
63,226.0
64,225.99
65,226.37
66,226.57
67,226.709
68,226.5
69,226.28
70,226.07
71,226.09
72,226.1283
73,226.14
74,226.22
75,226.18
76,226.185
77,226.21
78,226.268
79,226.33
80,226.26
81,226.18
82,226.19
83,226.29
84,226.38
85,225.85
86,225.35
87,225.7351
88,226.0
89,226.0122
90,225.606
91,225.75
92,225.98
93,226.16
94,226.43
95,226.4
96,226.56
97,226.83
98,226.96
99,226.87
100,226.77
101,226.62
102,226.57
103,226.46
104,226.7151
105,227.08900000000003
106,227.38
107,227.5
108,227.565
109,227.54
110,227.65
111,227.53
112,227.5099
113,227.78
114,227.9099
115,227.87
116,227.75
117,227.986
118,227.859
119,227.99
120,227.9351
121,227.78
122,227.77
123,227.92
124,227.85
125,228.01
126,228.32
127,228.35
128,228.2817
129,228.19
130,228.2701
131,228.18
132,228.1378
133,228.15
134,228.145
135,227.86
136,227.88
137,227.8825
138,228.07
139,228.16
140,228.25
141,228.2225
142,228.452
143,228.518
144,228.31
145,228.085
146,228.27
147,228.2
148,228.3
149,228.3075
150,228.4
151,228.5
152,228.39
153,228.235
154,228.26
155,228.19
156,228.03
157,227.8401
158,228.07
159,227.991
160,228.1
161,228.1099
162,227.7521
163,227.63
164,227.58
165,227.6641
166,227.92
167,227.89
168,228.065
169,228.0
170,227.86
171,227.66
172,227.88
173,228.18
174,227.8916
175,228.08
176,228.1
177,227.8
178,227.8
179,227.75
180,227.7
181,227.84
182,227.82
183,227.95
184,227.95
185,227.76
186,227.68
187,227.66
188,227.75
189,227.73
190,227.7
191,227.73
192,227.67
193,227.76
194,227.96
195,227.99
196,227.992
197,228.0986
198,228.0852
199,228.181
200,228.32
201,228.2
202,228.06
203,227.96
204,228.079
205,227.84
206,227.98
207,228.05
208,227.905
209,227.73
210,227.61
211,227.82
212,227.87
213,227.93
214,227.85
215,227.87
216,227.9149
217,227.77
218,227.83
219,227.92
220,227.88
221,227.85
222,227.86
223,227.98
224,228.07
225,227.95
226,227.89
227,227.92
228,228.0
229,227.9301
230,227.95
231,227.89
232,227.9
233,227.87
234,227.77
235,227.6
236,227.4887
237,227.5
238,227.3845
239,227.6175
240,227.62
241,227.58
242,227.705
243,227.67
244,227.65
245,227.57
246,227.65
247,227.68
248,227.87
249,227.9
250,227.89
251,227.8
252,227.72
253,227.75
254,227.85
255,227.74
256,227.75
257,227.82
258,227.91
259,227.9
260,227.89
261,227.92
262,227.96
263,227.9
264,227.93
265,227.95
266,227.9
267,227.99
268,228.28
269,228.42
270,228.41
271,228.639
272,228.62
273,228.729
274,228.69
275,228.53
276,228.35
277,228.01
278,228.165
279,228.04
280,227.922
281,227.96
282,227.96
283,228.11
284,228.1
285,228.02
286,228.0
287,227.911
288,227.96
289,228.04
290,228.04
291,228.04
292,227.91
293,228.06
294,228.105
295,228.1111
296,228.15
297,228.185
298,228.36
299,228.39
300,228.28
301,228.3725
302,228.41
303,228.29
304,228.2
305,228.13
306,228.32
307,228.17
308,228.335
309,228.3489
310,228.35
311,228.48
312,228.3
313,228.34
314,228.42
315,228.27
316,228.16
317,228.2
318,228.02
319,228.13
320,228.14
321,228.16
322,228.33
323,228.58
324,228.85
325,228.86
326,228.87
327,228.88
328,229.065
329,229.02
330,229.09
331,229.1001
332,229.625
333,229.5
334,229.57
335,229.7751
336,229.71
337,229.57
338,229.7237
339,229.8152
340,229.76
341,229.76
342,229.73
343,229.7825
344,229.72
345,229.724
346,229.4655
347,229.155
348,229.39
349,229.3
350,229.3
351,229.12
352,229.27
353,229.103
354,229.01
355,228.8501
356,228.926
357,228.95
358,229.15
359,229.03
360,229.2158
361,229.2786
362,229.61
363,229.7
364,229.7
365,229.7451
366,229.77
367,229.865
368,229.78
369,229.84
370,229.87
371,229.822
372,229.99
373,229.7914
374,229.81
375,229.9
376,229.79
377,229.7801
378,229.7002
379,229.73
380,229.72
381,229.555
382,229.56
383,229.365
384,229.47
385,229.43
386,229.38
387,229.34
388,229.39
389,229.4
390,229.51
391,229.01
392,229.222
393,229.45
394,229.31
395,229.2
396,228.6
397,228.35
398,228.415
399,228.27
400,228.31
401,228.0856
402,227.53
403,227.165
404,227.61
405,227.29
406,227.09
407,227.133
408,227.7216
409,227.95
410,227.8
411,228.05
412,228.8299
413,229.03
414,229.4831
415,229.9895
416,231.248
417,231.99
418,232.1914
419,233.06
420,232.82
421,231.77
422,232.0
423,231.99
424,231.9803
425,232.11
426,232.19
427,232.7
428,232.54
429,232.57
430,232.67
431,232.7065
432,232.89
433,232.67
434,232.64
435,232.7442
436,232.571
437,232.4001
438,232.48
439,232.32
440,232.061
441,232.03
442,231.72
443,231.68
444,231.46
445,231.2
446,231.14
447,231.21
448,231.45
449,231.68
450,231.53
451,231.15
452,231.175
453,230.7
454,230.6
455,230.43
456,230.6
457,230.75
458,231.1999
459,231.3511
460,231.81
461,231.1
462,231.12
463,230.71
464,230.74
465,230.53
466,230.5
467,230.5901
468,230.78
469,230.85
470,230.85
471,230.8227
472,231.0945
473,231.24
474,231.32
475,231.34
476,231.46
477,231.5667
478,231.95
479,231.9799
480,231.82
481,231.7474
482,231.86
483,231.65
484,231.62
485,231.5705
486,231.5433
487,231.51
488,231.6
489,231.51
490,231.31
491,231.49
492,231.7087
493,231.36
494,231.31
495,231.21
496,231.17
497,231.23
498,231.0203
499,230.93
500,230.88
501,230.6
502,230.7099
503,230.455
504,230.29
505,230.32
506,230.549
507,230.5628
508,230.41
509,230.42
510,230.585
511,230.7
512,230.45
513,230.56
514,230.35
515,230.37
516,230.396
517,229.92
518,229.05
519,229.01
520,228.59
521,228.95
522,229.03
523,228.69
524,228.858
525,228.7599
526,228.945
527,228.99
528,229.03
529,229.24
530,229.34
531,229.409
532,229.3699
533,229.28
534,229.3825
535,229.12
536,229.09
537,229.02
538,228.99
539,228.81
540,228.91
541,228.766
542,228.85
543,228.9
544,229.39
545,229.2
546,229.0801
547,229.0
548,229.027
549,228.874
550,228.76
551,228.61
552,228.655
553,228.74
554,229.09
555,229.06
556,229.09
557,229.2634
558,229.13
559,229.32
560,229.165
561,229.12
562,228.94
563,229.03
564,228.935
565,228.82
566,228.78
567,228.94
568,228.8899
569,229.0875
570,229.0825
571,229.02
572,229.0001
573,229.22
574,229.199
575,229.076
576,229.1035
577,229.131
578,228.851
579,228.94
580,229.0825
581,229.085
582,229.08
583,228.9056
584,228.9451
585,228.91
586,228.9856
587,229.135
588,229.3975
589,229.26
590,229.185
591,229.11
592,229.18
593,229.07
594,229.06
595,228.94
596,229.02
597,229.17
598,229.042
599,229.0967
600,229.16
601,229.23
602,229.07
603,228.99
604,229.04
605,229.026
606,229.012
607,229.1299
608,229.31
609,229.59
610,229.32
611,229.32
612,229.35
613,229.147
614,229.28
615,229.27
616,229.29
617,229.2947
618,229.28
619,229.248
620,229.17
621,229.11
622,228.93
623,228.89
624,228.89
625,228.91
626,228.9
627,228.94
628,228.99
629,228.9
630,228.79
631,228.7951
632,228.83900000000003
633,228.7504
634,228.63
635,228.7299
636,228.88
637,229.05
638,228.93
639,228.94
640,228.925
641,228.8932
642,229.0525
643,229.17
644,229.1411
645,228.998
646,228.83
647,229.069
648,229.22
649,229.3922
650,229.31
651,229.1
652,229.11
653,228.94
654,228.84
655,228.98
656,228.91
657,228.87
658,228.91
659,228.89
660,228.9
661,228.69
662,228.46400000000003
663,229.1
664,229.16
665,229.22
666,229.05
667,229.0
668,229.2475
669,229.265
670,229.14
671,228.92
672,229.0054
673,229.06
674,228.96
675,229.21
676,229.72
677,229.92
678,229.8835
679,230.01
680,229.651
681,229.975
682,229.92
683,229.96
684,229.82
685,230.1
686,229.95
687,229.82
688,229.89
689,230.0
690,229.86
691,230.11
692,229.75
693,229.77
694,229.73
695,229.74
696,229.58
697,229.5609
698,229.37
699,229.54
700,229.44
701,229.75
702,229.53
703,229.3
704,229.22
705,229.4
706,229.49
707,229.53
708,229.5058
709,229.3998
710,229.48
711,229.5251
712,229.4
713,229.51
714,229.52
715,229.46
716,229.35
717,229.44
718,229.4404
719,229.3001
720,229.31
721,229.38
722,229.4797
723,229.46
724,229.38
725,229.47
726,229.7151
727,229.4515
728,229.5108
729,229.599
730,229.43
731,229.35
732,229.36
733,229.48
734,229.27
735,229.37
736,229.53
737,229.39
738,229.3
739,229.36
740,229.31
741,228.9
742,228.85
743,228.8745
744,229.0942
745,229.17
746,228.98
747,229.27
748,229.2
749,229.21
750,229.398
751,229.28
752,229.3025
753,229.13
754,229.111
755,229.22
756,229.18
757,229.3
758,229.35
759,229.4
760,229.3634
761,229.3697
762,229.24
763,229.115
764,229.3509
765,229.12
766,228.94
767,228.5021
768,228.25
769,228.2955
770,228.4
771,228.77
772,228.56
773,228.6
774,228.52
775,228.47
776,228.51
777,228.43
778,228.42
779,228.5301
780,228.49
781,227.17
782,226.69
783,227.6649
784,227.9
785,227.38
786,227.0001
787,227.05
788,226.815
789,227.4764
790,227.0001
791,226.8575
792,226.855
793,227.111
794,227.2636
795,227.11
796,227.47
797,227.9999
798,228.005
799,228.0
800,228.7848
801,228.78
802,229.21
803,229.6035
804,229.5
805,229.345
806,228.96
807,228.39
808,228.3
809,228.2285
810,227.64
811,227.92
812,228.04
813,227.96
814,227.97
815,227.27
816,227.03
817,227.189
818,227.23
819,228.03
820,227.76
821,227.9886
822,227.98
823,228.115
824,227.76
825,227.41
826,227.4
827,227.48
828,227.5
829,227.4405
830,227.41
831,227.363
832,227.55
833,227.52
834,227.65
835,227.59
836,227.6975
837,227.695
838,228.1
839,228.35
840,228.51
841,228.5079
842,228.57
843,228.461
844,228.53
845,228.77
846,228.45
847,228.47
848,228.42
849,228.34
850,228.03
851,228.07
852,228.049
853,227.9334
854,228.02
855,228.01
856,227.93
857,227.97
858,228.1828
859,228.19
860,228.0575
861,228.12
862,227.965
863,228.01
864,228.0062
865,228.08
866,228.11
867,227.9
868,228.05
869,228.08
870,227.98
871,227.95
872,228.1251
873,228.1
874,227.94
875,228.06
876,227.96
877,227.93
878,228.0
879,227.96
880,227.93
881,227.96
882,227.98
